F1, B1 , 0.0
F1, B2 , 0.0
F1, B3 , 0.0
F1, B4 , 0.0015
F1, B5 , 0.0105
F1, B6 , 0.009
F1, B7 , 0.01
F1, B8 , 0.001
F1, B9 , 5.0E-4
F1, B10 , 0.0
F1, B11 , 0.001
F1, B12 , 0.001
F1, B13 , 5.0E-4
F1, B14 , 0.001
F1, B15 , 0.0085
F1, B16 , 5.0E-4
F1, B17 , 0.0
F1, B18 , 0.0
F1, B19 , 0.0
F1, B20 , 0.01
F1, B21 , 0.0095
F1, B22 , 0.0015
F1, B23 , 0.0
F1, B24 , 0.009
F1, B25 , 0.0015
F1, B26 , 0.0
F1, B27 , 0.0
F1, B28 , 5.0E-4
F1, B29 , 0.0085
F1, B30 , 0.0205
F1, B31 , 0.001
F1, B32 , 0.0
F1, B33 , 5.0E-4
F1, B34 , 0.0
F1, B35 , 0.056
F1, B36 , 0.011
F1, B37 , 0.0
F1, B38 , 0.0765
F1, B39 , 0.0
F1, B40 , 0.011
F1, B41 , 5.0E-4
F1, B42 , 0.0
F1, B43 , 5.0E-4
F1, B44 , 0.0
F1, B45 , 0.008
F1, B46 , 5.0E-4
F1, B47 , 0.018
F1, B48 , 0.0
F1, B49 , 0.0105
F1, B50 , 0.009
F1, B51 , 5.0E-4
F1, B52 , 5.0E-4
F1, B53 , 5.0E-4
F1, B54 , 0.0
F1, B55 , 0.009
F1, B56 , 0.0
F1, B57 , 0.0015
F1, B58 , 0.0095
F1, B59 , 0.0015
F1, B60 , 0.001
F1, B61 , 0.0015
F1, B62 , 0.001
F1, B63 , 0.001
F1, B64 , 0.0
F1, B65 , 0.0
F1, B66 , 0.0015
F1, B67 , 5.0E-4
F1, B68 , 0.009
F1, B69 , 5.0E-4
F1, B70 , 0.0
F1, B71 , 5.0E-4
F1, B72 , 5.0E-4
F1, B73 , 0.066
F1, B74 , 0.0085
F1, B75 , 5.0E-4
F1, B76 , 0.0095
F1, B77 , 5.0E-4
F1, B78 , 0.009
F1, B79 , 5.0E-4
F1, B80 , 0.001
F1, B81 , 0.001
F1, B82 , 0.0115
F1, B83 , 0.0
F1, B84 , 0.0
F1, B85 , 0.0
F1, B86 , 0.0
F1, B87 , 0.01
F1, B88 , 0.001
F1, B89 , 0.0
F1, B90 , 0.008
F1, B91 , 0.001
F1, B92 , 5.0E-4
F1, B93 , 0.0
F1, B94 , 0.0085
F1, B95 , 0.0
F1, B96 , 0.0085
F1, B97 , 5.0E-4
F1, B98 , 0.0105
F1, B99 , 0.0
F1, B100 , 5.0E-4
F1, B101 , 0.0095
F1, B102 , 5.0E-4
F1, B103 , 0.0105
F1, B104 , 0.058
F1, B105 , 5.0E-4
F1, B106 , 5.0E-4
F1, B107 , 0.0095
F1, B108 , 0.001
F1, B109 , 0.0095
F1, B110 , 5.0E-4
F1, B111 , 0.001
F1, B112 , 0.067
F1, B113 , 0.0
F1, B114 , 0.0
F1, B115 , 0.0
F1, B116 , 0.0105
F1, B117 , 0.0
F1, B118 , 0.001
F1, B119 , 5.0E-4
F1, B120 , 0.0095
F1, B121 , 5.0E-4
F1, B122 , 5.0E-4
F1, B123 , 5.0E-4
F1, B124 , 0.001
F1, B125 , 0.001
F1, B126 , 0.001
F1, B127 , 5.0E-4
F1, B128 , 0.0
F1, B129 , 0.01
F1, B130 , 0.0015
F1, B131 , 5.0E-4
F1, B132 , 0.01
F1, B133 , 0.01
F1, B134 , 0.0095
F1, B135 , 5.0E-4
