Pattern , Freq ,Base-Freq
F31 B33 B546 B111 B673 B736 B272 B625 , 512 ,800
F29 B906 B610 B984 B986 B852 B490 , 270 ,445
F29 B111 B906 B610 B984 B986 B852 , 270 ,446
