Pattern , Freq ,Base-Freq
F34 B448 B123 B285 B214 B149 B425 B9 B772 B720 , 4042 ,4300
F16 B437 B960 B342 B602 B352 , 1633 ,2427
F20 B267 B726 B763 B755 B579 B255 B507 B630 B841 , 1544 ,2335
F18 B529 B342 B856 B227 B926 B503 B705 , 1607 ,2432
