Pattern , Freq ,Base-Freq
F13 B741 B827 B754 B746 B826 B992 , 1260 ,1500
F31 B33 B546 B111 B673 B736 B272 B625 , 814 ,1100
F75 B16 B660 B471 B263 B653 , 630 ,900
