Pattern , Freq ,Base-Freq
F28 B746 B467 B427 B91 B691 B418 , 540 ,855
F26 B209 B575 B51 B190 B636 B500 B828 B254 , 540 ,857
F64 B211 B191 B334 B959 B850 B738 B549 B997 , 571 ,907
