Pattern , Freq ,Base-Freq
F34 B448 B123 B285 B214 B149 B425 B9 B772 B720 , 594 ,900
F18 B342 B856 B227 B926 B503 B705 , 275 ,447
F18 B529 B342 B856 B227 B926 B503 , 275 ,448
