Pattern , Freq ,Base-Freq
F27 B706 B608 B292 B183 B391 , 1305 ,1500
F37 B680 B181 B928 B205 B185 B51 , 825 ,1100
F42 B437 B533 B167 B92 B683 , 1697 ,2520
F93 B547 B177 B174 B987 B790 , 1792 ,2665
