Pattern , Freq ,Base-Freq
F87 B512 B290 B522 B337 B823 B214 , 1792 ,2664
F5 B961 B959 B137 B501 B995 B741 B257 B264 B13 , 480 ,760
F80 B507 B768 B115 B884 B917 B350 , 571 ,906
