Pattern , Freq ,Base-Freq
F39 B601 B895 B934 B177 B644 , 4042 ,4300
F37 B680 B181 B928 B205 B185 B51 , 612 ,900
F96 B602 B391 B982 B101 B69 , 571 ,903
