Pattern , Freq ,Base-Freq
F24 B602 B660 B990 B488 B936 B17 B671 B963 , 4004 ,4400
F26 B209 B575 B51 B190 B636 B500 B828 B254 , 1697 ,2523
F97 B167 B975 B157 B705 B715 , 511 ,808
