Pattern , Freq ,Base-Freq
F2 B429 B151 B108 B15 B324 B635 B594 B550 , 571 ,905
F64 B191 B334 B959 B850 B738 B549 B997 , 303 ,496
F64 B211 B191 B334 B959 B850 B738 B549 , 303 ,504
