Pattern , Freq ,Base-Freq
F62 B887 B102 B748 B403 B976 B430 B96 B398 B193 , 1569 ,2340
F48 B563 B922 B44 B831 B302 B517 , 244 ,384
F48 B811 B113 B563 B922 B44 B831 , 244 ,385
F48 B113 B563 B922 B44 B831 B302 , 244 ,391
