F37 , 0.11608623548922056
F31 , 0.11608623548922056
F24 , 0.1077943615257048
F62 , 0.06218905472636816
F6 , 0.06218905472636816
F20 , 0.06218905472636816
F64 , 0.05804311774461028
F26 , 0.05804311774461028
F28 , 0.0538971807628524
F43 , 0.03150912106135987
F40 , 0.03150912106135987
F78 , 0.029850746268656716
F65 , 0.029850746268656716
F95 , 0.028192371475953566
F68 , 0.028192371475953566
F89 , 0.024875621890547265
F83 , 0.024875621890547265
F57 , 0.024875621890547265
F21 , 0.024875621890547265
F12 , 0.024875621890547265
