F26 B116 B550 B325 , 10, 10
F74 B960 B889 B931 B14 B657 B527 , 1, 29
F62 B607 B193 , 1, 1660
F82 B381 B416 , 571, 665
F13 B741 B190 B585 B81 B311 , 22, 4275
F26 B211 B712 B345 , 10, 11
F74 B823 B163 B360 B126 , 6, 7
F18 B856 B227 B926 B503 B705 , 511, 725
F34 B395 B511 B886 B536 , 14, 14
F64 B211 B933 , 11, 614
F48 B890 B798 B553 B333 , 1, 1
F58 B994 B885 B133 B692 B747 , 1664, 2175
F48 B458 B411 B803 B3 , 1, 14
F48 B811 B663 B705 B579 B693 B883 B220 , 11, 646
F10 B644 B278 B560 B163 B584 , 37, 42
F74 B410 B960 B889 B931 , 1, 1756
F18 B172 B951 B797 B555 , 11, 12
F5 B834 B589 B669 B388 B793 B89 B34 B216 , 8, 43
F2 B429 B151 B108 , 1638, 1979
F20 B763 B755 B579 B255 B507 , 571, 760
F10 B782 B57 B979 , 37, 40
F24 B488 B936 B17 , 988, 1105
F64 B131 B734 , 1, 1
F18 B844 B385 B636 B561 , 10, 10
F26 B922 B721 B621 , 10, 11
F29 B111 B261 B869 B405 B322 B631 , 11, 588
F5 B616 B164 B566 B381 , 8, 10
F23 B525 B120 , 32, 1712
F29 B437 B135 B291 B382 B573 , 12, 13
F62 B747 B950 B367 , 9, 10
F26 B951 B869 , 10, 20
F64 B211 B977 B673 B687 B761 B658 , 10, 615
F34 B640 B757 B472 , 14, 14
F42 B284 B257 , 41, 41
F39 B601 B583 B612 B862 B510 , 28, 1176
F5 B961 B834 B589 , 8, 528
F48 B377 B458 , 1, 12
F62 B475 B312 B744 B946 , 9, 11
F62 B335 B353 B208 B533 B607 B193 , 1, 1682
F48 B136 B330 , 1, 4
F42 B437 B547 B284 B257 , 41, 1863
F31 B33 B22 B10 B588 B344 B955 B973 , 15, 1235
F16 B352 B100 B10 B584 , 1, 1833
F20 B507 B630 B841 , 571, 683
F48 B636 B539 , 1, 4
F58 B498 B269 B617 B857 B470 B518 , 1, 23
F60 B159 B344 , 36, 37
F64 B259 B417 , 11, 11
F48 B53 B349 B734 B276 , 10, 22
F75 B37 B209 B622 , 31, 31
F77 B23 B504 B743 B731 B675 , 27, 31
F27 B706 B487 B885 B612 B333 , 30, 863
F29 B437 B135 B291 B382 , 12, 12
F5 B963 B604 B521 B364 , 1, 86
F58 B709 B871 , 1, 26
F31 B546 B111 B673 B736 B272 B625 , 1190, 1385
F64 B211 B191 B334 B959 B850 , 571, 792
F6 B498 B821 , 14, 14
F74 B935 B696 , 6, 317
F62 B632 B11 B723 B514 B680 B388 , 1, 13
F74 B410 B145 B590 , 7, 334
F5 B589 B669 B388 B793 , 8, 26
F58 B875 B826 B526 B335 B6 , 1, 3
F80 B768 B115 B884 , 571, 737
