F60,B946,0.6921428571428572
F60,B393,0.6921428571428572
F60,B371,0.6921428571428572
F60,B47,0.6917857142857143
F60,B267,0.6917857142857143
F60,B163,0.6917857142857143
F87,B337,0.6676923076923077
F87,B823,0.6492307692307693
F16,B960,0.6476923076923077
F16,B437,0.6476923076923077
F16,B602,0.6461538461538462
F16,B352,0.6461538461538462
F16,B342,0.6461538461538462
F87,B522,0.6353846153846154
F87,B512,0.6353846153846154
F87,B290,0.6338461538461538
F87,B214,0.6338461538461538
F42,B92,0.63
F42,B683,0.63
F42,B533,0.63
F42,B437,0.63
F42,B167,0.63
F60,B390,0.02642857142857143
F60,B971,0.025714285714285714
F60,B825,0.025714285714285714
F60,B6,0.025714285714285714
F60,B28,0.025714285714285714
